COUNTY CODE,COUNTY NAME,SUB-COUNTY CODE,SUB-COUNTY NAME
1,MOMBASA,101,CHANGAMWE
1,MOMBASA,102,JOMVU
1,MOMBASA,103,KISAUNI
1,MOMBASA,104,LIKONI
1,MOMBASA,105,MVITA
1,MOMBASA,106,NYALI
2,KWALE,201,KINANGO
2,KWALE,202,LUNGA LUNGA
2,KWALE,203,MATUGA
2,KWALE,204,MSAMBWENI
2,KWALE,205,SAMBURU
3,KILIFI,301,CHONYI
3,KILIFI,302,GANZE
3,KILIFI,303,KALOLENI
3,KILIFI,304,KAUMA
3,KILIFI,305,KILIFI NORTH
3,KILIFI,306,KILIFI SOUTH
3,KILIFI,307,MAGARINI
3,KILIFI,308,MALINDI
3,KILIFI,309,RABAI
4,TANA RIVER,401,TANA DELTA
4,TANA RIVER,402,TANA NORTH
4,TANA RIVER,403,TANA RIVER
5,LAMU,501,LAMU EAST
5,LAMU,502,LAMU WEST
6,TAITA/TAVETA,601,MWATATE
6,TAITA/TAVETA,602,TAITA
6,TAITA/TAVETA,603,TAVETA
6,TAITA/TAVETA,604,VOI
7,GARISSA,701,BALAMBALA
7,GARISSA,702,DADAAB
7,GARISSA,703,FAFI
7,GARISSA,704,GARISSA
7,GARISSA,705,HULUGHO
7,GARISSA,706,IJARA
7,GARISSA,707,LAGDERA
8,WAJIR,801,BUNA
8,WAJIR,802,ELDAS
8,WAJIR,803,HABASWEIN
8,WAJIR,804,TARBAJ
8,WAJIR,805,WAJIR EAST
8,WAJIR,806,WAJIR NORTH
8,WAJIR,807,WAJIR SOUTH
8,WAJIR,808,WAJIR WEST
9,MANDERA,901,MANDERA WEST
9,MANDERA,902,BANISA
9,MANDERA,903,KOTULO
9,MANDERA,904,LAFEY
9,MANDERA,905,MANDERA CENTRAL
9,MANDERA,906,MANDERA EAST
9,MANDERA,907,MANDERA NORTH
10,MARSABIT,1001,LOIYANGALANI
10,MARSABIT,1002,MARSABIT CENTRAL
10,MARSABIT,1003,MARSABIT NORTH
10,MARSABIT,1004,MARSABIT SOUTH
10,MARSABIT,1005,MOYALE
10,MARSABIT,1006,NORTH HORR
10,MARSABIT,1007,SOLOLO
11,ISIOLO,1101,GARBATULLA
11,ISIOLO,1102,ISIOLO
11,ISIOLO,1103,MERTI
12,MERU,1201,BUURI EAST
12,MERU,1202,BUURI WEST
12,MERU,1203,IGEMBE CENTRAL
12,MERU,1204,IGEMBE NORTH
12,MERU,1205,IGEMBE SOUTH
12,MERU,1206,IMENTI NORTH
12,MERU,1207,IMENTI SOUTH
12,MERU,1208,MERU CENTRAL
12,MERU,1209,TIGANIA CENTRAL
12,MERU,1210,TIGANIA EAST
12,MERU,1211,TIGANIA WEST
13,THARAKA-NITHI,1301,IGAMBANG'OMBE
13,THARAKA-NITHI,1302,MAARA
13,THARAKA-NITHI,1303,MERU SOUTH
13,THARAKA-NITHI,1304,THARAKA NORTH
13,THARAKA-NITHI,1305,THARAKA SOUTH
14,EMBU,1401,EMBU EAST
14,EMBU,1402,EMBU NORTH
14,EMBU,1403,EMBU WEST
14,EMBU,1404,MBEERE SOUTH
14,EMBU,1405,MBEERE NORTH
15,KITUI,1501,IKUTHA
15,KITUI,1502,KATULANI
15,KITUI,1503,KISASI
15,KITUI,1504,KITUI CENTRAL
15,KITUI,1505,KITUI WEST
15,KITUI,1506,KYUSO
15,KITUI,1507,LOWER YATTA
15,KITUI,1508,MATINYANI
15,KITUI,1509,MIGWANI
15,KITUI,1510,MUMONI
15,KITUI,1511,MUTITU
15,KITUI,1512,MUTITU NORTH
15,KITUI,1513,MUTOMO
15,KITUI,1514,MWINGI CENTRAL
15,KITUI,1515,MWINGI EAST
15,KITUI,1516,NZAMBANI
15,KITUI,1517,THAGICU
15,KITUI,1518,TSEIKURU
16,MACHAKOS,1601,ATHI RIVER
16,MACHAKOS,1602,KALAMA
16,MACHAKOS,1603,KANGUNDO
16,MACHAKOS,1604,KATHIANI
16,MACHAKOS,1605,MACHAKOS
16,MACHAKOS,1606,MASINGA
16,MACHAKOS,1607,MATUNGULU
16,MACHAKOS,1608,MWALA
16,MACHAKOS,1609,YATTA
17,MAKUENI,1701,KATHONZWENI
17,MAKUENI,1702,KIBWEZI
17,MAKUENI,1703,KILUNGU
17,MAKUENI,1704,MAKINDU
17,MAKUENI,1705,MAKUENI
17,MAKUENI,1706,MBOONI EAST
17,MAKUENI,1707,MBOONI WEST
17,MAKUENI,1708,MUKAA
17,MAKUENI,1709,NZAUI
18,NYANDARUA,1801,KINANGOP
18,NYANDARUA,1802,NYANDARUA SOUTH
18,NYANDARUA,1803,MIRANGINE
18,NYANDARUA,1804,KIPIPIRI
18,NYANDARUA,1805,NYANDARUA CENTRAL
18,NYANDARUA,1806,NYANDARUA WEST
18,NYANDARUA,1807,NYANDARUA NORTH
18,NYERI,1901,TETU
19,NYERI,1902,KIENI EAST
19,NYERI,1903,KIENI WEST
19,NYERI,1904,MATHIRA EAST
19,NYERI,1905,MATHIRA WEST
19,NYERI,1906,NYERI SOUTH
19,NYERI,1907,MUKURWE-INI
19,NYERI,1908,NYERI CENTRAL
19,KIRINYAGA,2001,KIRINYAGA CENTRAL
20,KIRINYAGA,2002,KIRINYAGA EAST
20,KIRINYAGA,2003,KIRINYAGA WEST
20,KIRINYAGA,2004,MWEA EAST
20,KIRINYAGA,2005,MWEA WEST
20,MURANG'A,2101,MURANG'A EAST
21,MURANG'A,2102,KANGEMA
21,MURANG'A,2103,MATHIOYA
21,MURANG'A,2104,KAHURO
21,MURANG'A,2105,MURANG'A SOUTH
21,MURANG'A,2106,GATANGA
21,MURANG'A,2107,KIGUMO
21,MURANG'A,2108,KANDARA
21,KIAMBU,2201,GATUNDU NORTH
22,KIAMBU,2202,GATUNDU SOUTH
22,KIAMBU,2203,GITHUNGURI
22,KIAMBU,2204,JUJA
22,KIAMBU,2205,KABETE
22,KIAMBU,2206,KIAMBAA
22,KIAMBU,2207,KIAMBU
22,KIAMBU,2208,KIKUYU
22,KIAMBU,2209,LARI
22,KIAMBU,2210,LIMURU
22,KIAMBU,2211,RUIRU
22,KIAMBU,2212,THIKA EAST
22,KIAMBU,2213,THIKA WEST
22,TURKANA,2301,KIBISH
23,TURKANA,2302,LOIMA
23,TURKANA,2303,TURKANA CENTRAL
23,TURKANA,2304,TURKANA EAST
23,TURKANA,2305,TURKANA NORTH
23,TURKANA,2306,TURKANA SOUTH
23,TURKANA,2307,TURKANA WEST
23,WEST POKOT,2401,KIPKOMO
24,WEST POKOT,2402,POKOT CENTRAL
24,WEST POKOT,2403,POKOT NORTH
24,WEST POKOT,2404,POKOT SOUTH
24,WEST POKOT,2405,WEST POKOT
24,SAMBURU,2501,SAMBURU CENTRAL
25,SAMBURU,2502,SAMBURU EAST
25,SAMBURU,2503,SAMBURU NORTH
25,TRANS NZOIA,2601,TRANS NZOIA WEST
26,TRANS NZOIA,2602,TRANS NZOIA EAST
26,TRANS NZOIA,2603,KWANZA
26,TRANS NZOIA,2604,ENDEBESS
26,TRANS NZOIA,2605,KIMININI
26,UASIN GISHU,2701,AINABKOI
27,UASIN GISHU,2702,KAPSERET
27,UASIN GISHU,2703,KESSES
27,UASIN GISHU,2704,MOIBEN
27,UASIN GISHU,2705,SOY
27,UASIN GISHU,2706,TURBO
28,ELGEYO/MARAKWET,2801,KEIYO NORTH
28,ELGEYO/MARAKWET,2802,KEIYO SOUTH
28,ELGEYO/MARAKWET,2803,MARAKWET EAST
28,ELGEYO/MARAKWET,2804,MARAKWET WEST
29,NANDI,2901,CHESUMEI
29,NANDI,2902,NANDI CENTRAL
29,NANDI,2903,NANDI EAST
29,NANDI,2904,NANDI NORTH
29,NANDI,2905,NANDI SOUTH
29,NANDI,2906,TINDERET
30,BARINGO,3001,BARINGO CENTRAL
30,BARINGO,3002,BARINGO NORTH
30,BARINGO,3003,EAST POKOT
30,BARINGO,3004,KOIBATEK
30,BARINGO,3005,MARIGAT
30,BARINGO,3006,MOGOTIO
30,BARINGO,3007,TIATY EAST
30,BARINGO,3008,LAKE BARINGO
31,LAIKIPIA,3101,LAIKIPIA CENTRAL
31,LAIKIPIA,3102,LAIKIPIA EAST
31,LAIKIPIA,3103,LAIKIPIA NORTH
31,LAIKIPIA,3104,LAIKIPIA WEST
31,LAIKIPIA,3105,NYAHURURU
32,NAKURU,3201,GILGIL
32,NAKURU,3202,KURESOI NORTH
32,NAKURU,3203,KURESOI SOUTH
32,NAKURU,3204,MOLO
32,NAKURU,3205,NAIVASHA
32,NAKURU,3206,NAKURU EAST
32,NAKURU,3207,NAKURU NORTH
32,NAKURU,3208,NAKURU WEST
32,NAKURU,3209,NJORO
32,NAKURU,3210,RONGAI
32,NAKURU,3211,SUBUKIA
33,NAROK,3301,NAROK EAST
33,NAROK,3302,NAROK NORTH
33,NAROK,3303,NAROK SOUTH
33,NAROK,3304,NAROK WEST
33,NAROK,3305,TRANS MARA EAST
33,NAROK,3306,TRANS MARA WEST
34,KAJIADO,3401,ISINYA
34,KAJIADO,3402,KAJIADO CENTRAL
34,KAJIADO,3403,KAJIADO NORTH
34,KAJIADO,3404,KAJIADO WEST
34,KAJIADO,3405,LOITOKITOK
34,KAJIADO,3406,MASHUURU
35,KERICHO,3501,BELGUT
35,KERICHO,3502,BURETI
35,KERICHO,3503,KERICHO EAST
35,KERICHO,3504,KIPKELION
35,KERICHO,3505,LONDIANI
35,KERICHO,3506,SOIN SIGOWET
36,BOMET,3601,BOMET EAST
36,BOMET,3602,CHEPALUNGU
36,BOMET,3603,KONOIN
36,BOMET,3604,SOTIK
36,BOMET,3605,BOMET CENTRAL
37,KAKAMEGA,3701,BUTERE
37,KAKAMEGA,3702,KAKAMEGA CENTRAL
37,KAKAMEGA,3703,KAKAMEGA EAST
37,KAKAMEGA,3704,KAKAMEGA NORTH
37,KAKAMEGA,3705,KAKAMEGA SOUTH
37,KAKAMEGA,3706,KHWISERO
37,KAKAMEGA,3707,LIKUYANI
37,KAKAMEGA,3708,LUGARI
37,KAKAMEGA,3709,MATETE
37,KAKAMEGA,3710,MATUNGU
37,KAKAMEGA,3711,MUMIAS EAST
37,KAKAMEGA,3712,MUMIAS WEST
37,KAKAMEGA,3713,NAVAKHOLO
38,VIHIGA,3801,EMUHAYA
38,VIHIGA,3802,VIHIGA
38,VIHIGA,3803,SABATIA
38,VIHIGA,3804,LUANDA
38,VIHIGA,3805,HAMISI
39,BUNGOMA,3901,BUMULA
39,BUNGOMA,3902,BUNGOMA CENTRAL
39,BUNGOMA,3903,BUNGOMA EAST
39,BUNGOMA,3904,BUNGOMA NORTH
39,BUNGOMA,3905,BUNGOMA SOUTH
39,BUNGOMA,3906,CHEPTAIS
39,BUNGOMA,3907,KIMILILI
39,BUNGOMA,3909,BUNGOMA WEST
39,BUNGOMA,3910,TONGAREN
39,BUNGOMA,3911,WEBUYE WEST
39,BUNGOMA,3912,MT ELGON FOREST
40,BUSIA,4001,BUNYALA
40,BUSIA,4002,BUSIA
40,BUSIA,4003,BUTULA
40,BUSIA,4004,NAMBALE
40,BUSIA,4005,SAMIA
40,BUSIA,4006,TESO NORTH
40,BUSIA,4007,TESO SOUTH
41,SIAYA,4101,SIAYA
41,SIAYA,4102,GEM
41,SIAYA,4103,UGENYA
41,SIAYA,4104,UGUNJA
41,SIAYA,4105,BONDO
41,SIAYA,4106,RARIEDA
42,KISUMU,4201,KISUMU EAST
42,KISUMU,4202,KISUMU CENTRAL
42,KISUMU,4203,KISUMU WEST
42,KISUMU,4204,SEME
42,KISUMU,4205,MUHORONI
42,KISUMU,4206,NYANDO
42,KISUMU,4207,NYAKACH
43,HOMA BAY,4301,HOMA BAY
43,HOMA BAY,4302,NDHIWA
43,HOMA BAY,4303,RACHUONYO NORTH
43,HOMA BAY,4304,RACHUONYO EAST
43,HOMA BAY,4305,RACHUONYO SOUTH
43,HOMA BAY,4306,RANGWE
43,HOMA BAY,4307,SUBA NORTH
43,HOMA BAY,4308,SUBA SOUTH
44,MIGORI,4401,AWENDO
44,MIGORI,4402,KURIA EAST
44,MIGORI,4403,KURIA WEST
44,MIGORI,4404,NYATIKE
44,MIGORI,4405,RONGO
44,MIGORI,4406,SUNA EAST
44,MIGORI,4407,SUNA WEST
44,MIGORI,4408,URIRI
45,KISII,4501,ETAGO
45,KISII,4502,GUCHA
45,KISII,4503,GUCHA SOUTH
45,KISII,4504,KENYENYA
45,KISII,4505,KISII CENTRAL
45,KISII,4506,KISII SOUTH
45,KISII,4507,KITUTU CENTRAL
45,KISII,4508,MARANI
45,KISII,4509,MASABA SOUTH
45,KISII,4510,NYAMACHE
45,KISII,4511,SAMETA
46,NYAMIRA,4601,BORABU
46,NYAMIRA,4602,MANGA
46,NYAMIRA,4603,MASABA NORTH
46,NYAMIRA,4604,NYAMIRA NORTH
46,NYAMIRA,4605,NYAMIRA SOUTH
47,NAIROBI CITY,4701,DAGORETTI
47,NAIROBI CITY,4702,EMBAKASI
47,NAIROBI CITY,4703,KAMUKUNJI
47,NAIROBI CITY,4704,KASARANI
47,NAIROBI CITY,4705,KIBRA
47,NAIROBI CITY,4706,LANG'ATA
47,NAIROBI CITY,4707,MAKADARA
47,NAIROBI CITY,4708,MATHARE
47,NAIROBI CITY,4709,NJIRU
47,NAIROBI CITY,4710,STAREHE
47,NAIROBI CITY,4711,WESTLANDS